split_type,split_idx,n_train,n_test,mse,fit_elapsed,predict_elapsed,coverage_elapsed,jitter,target,n_points,n_posterior_samples,mean_predictive_sd,coverage_50,avg_width_50,normal_coverage_50,normal_avg_width_50,coverage_80,avg_width_80,normal_coverage_80,normal_avg_width_80,coverage_90,avg_width_90,normal_coverage_90,normal_avg_width_90,coverage_95,avg_width_95,normal_coverage_95,normal_avg_width_95
rand,0,2093,524,58.52325439453125,9.885828495025635,2.0399389266967773,0.29797792434692383,0.00028768955962732434,observed,524,202,7.71388578414917,0.5286259541984732,10.321575045894454,0.5362595319747925,10.40587329864502,0.8034351145038168,19.62681558193561,0.8167939186096191,19.771484375,0.8969465648854962,24.98522452194956,0.8931297659873962,25.37642478942871,0.9370229007633588,29.569899782342915,0.9427480697631836,30.237876892089844
rand,1,2093,524,64.70671844482422,8.325042247772217,1.6348652839660645,0.029900789260864258,0.0002944694715552032,observed,524,202,7.69112491607666,0.5133587786259542,10.365699576924055,0.5419847369194031,10.37516975402832,0.799618320610687,19.61223386777725,0.8072519302368164,19.713146209716797,0.8912213740458015,25.063706687388912,0.8950381875038147,25.301549911499023,0.9351145038167938,29.615136908682025,0.9427480697631836,30.14865493774414
rand,2,2094,523,67.5802001953125,9.04272985458374,1.8721058368682861,0.24595165252685547,0.0003578033938538283,observed,523,202,7.70570707321167,0.5277246653919694,10.366980013034462,0.5219885110855103,10.394841194152832,0.8126195028680688,19.647247157606763,0.8068833351135254,19.75052261352539,0.887189292543021,25.090026943808322,0.8871892690658569,25.349519729614258,0.9254302103250478,29.643816303557323,0.942638635635376,30.20581817626953
rand,3,2094,523,62.08176040649414,8.293525695800781,1.6034178733825684,0.029577016830444336,0.00047297016135416925,observed,523,202,7.7719645500183105,0.497131931166348,10.444312492514646,0.5066921710968018,10.484221458435059,0.8011472275334608,19.67698544993371,0.8164435625076294,19.920347213745117,0.904397705544933,25.208582615312697,0.913957953453064,25.567489624023438,0.9464627151051626,29.766699602033416,0.9560229182243347,30.465543746948242
rand,4,2094,523,63.80770492553711,8.268430233001709,1.5747363567352295,0.02980518341064453,0.00029879246721975505,observed,523,202,7.705826759338379,0.5583173996175909,10.335773156394879,0.5564053654670715,10.395001411437988,0.8030592734225621,19.566522274093888,0.8126195073127747,19.750829696655273,0.887189292543021,24.99532982514955,0.8986615538597107,25.34991455078125,0.9311663479923518,29.56787924010911,0.9292542934417725,30.206287384033203
geo,0,2064,553,77.23472595214844,8.5184965133667,1.8019042015075684,0.2565762996673584,0.0003521681355778128,observed,553,202,7.642406940460205,0.48282097649186256,10.257317286472043,0.4882459342479706,10.309449195861816,0.7432188065099458,19.409280029971477,0.763110339641571,19.588275909423828,0.8535262206148282,24.757311782772117,0.8661844730377197,25.141281127929688,0.9095840867992767,29.226682313398896,0.915009081363678,29.957685470581055
geo,1,2107,510,87.59208679199219,8.980542659759521,1.8893609046936035,0.23062562942504883,0.00044581512338481843,observed,510,202,7.780949592590332,0.48627450980392156,10.453981928729114,0.4784314036369324,10.496341705322266,0.7352941176470589,19.72404667544291,0.7431373000144958,19.943376541137695,0.8235294117647058,25.262076721746244,0.8352941870689392,25.5970458984375,0.8764705882352941,29.87293145197882,0.8862745761871338,30.500764846801758
geo,2,2013,604,133.1752166748047,8.529495000839233,1.8195223808288574,0.2641470432281494,0.00027339087682776153,observed,604,202,7.816697120666504,0.4652317880794702,10.443549111851212,0.48013246059417725,10.544564247131348,0.706953642384106,19.795004147177412,0.7135761380195618,20.035001754760742,0.7980132450331126,25.237122069774504,0.8162251710891724,25.714645385742188,0.8509933774834437,29.854211278062145,0.8526490330696106,30.64089012145996
geo,3,2092,525,55.995155334472656,8.861343383789062,1.8570044040679932,0.24812555313110352,0.0003672396996989846,observed,525,202,8.224801063537598,0.5257142857142857,11.062445349324145,0.5390475988388062,11.095087051391602,0.8361904761904762,20.83877996702971,0.8609523773193359,21.081010818481445,0.9219047619047619,26.61640039676156,0.9371428489685059,27.05718421936035,0.9619047619047619,31.489962258594446,0.9733332991600037,32.240623474121094
geo,4,2192,425,60.761375427246094,9.312676668167114,1.9033901691436768,0.24469614028930664,0.0007445743540301919,observed,425,202,7.556401252746582,0.49176470588235294,10.092939445445861,0.5011764764785767,10.193428993225098,0.7976470588235294,19.140097101553792,0.8070588111877441,19.367834091186523,0.8941176470588236,24.524957598143732,0.9082352519035339,24.85834503173828,0.9247058823529412,29.00988170092283,0.9317646622657776,29.620546340942383
