measurement_set_id,measurement_set_sequence,measurement_set_timestamp_utc,sample_index,sample_timestamp_utc,collector_id,device_name,environment,building,floor,capture_interval_seconds_config,wdutil_samples_config,wdutil_delay_seconds_config,unredactor_found,unredactor_parse_error,unredactor_ssid,unredactor_bssid,unredactor_interface,wdutil_ssid,wdutil_bssid,wdutil_rssi_dbm,wdutil_noise_dbm,wdutil_tx_rate,wdutil_channel,wdutil_mac_address,wdutil_security,wdutil_phy_mode,wdutil_mcs_index,wdutil_nss,wdutil_cca,legacy_extra_columns_json,raw_measurement_json_path
514c995ac0b3,5,2026-04-28T00:11:51.514166+00:00,2,2026-04-28T00:11:54.013032+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-67,-97,344.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,8,2,0 %,null,data/wifi_raw/514c995ac0b3.json
bd411ce968ea,6,2026-04-28T00:11:56.519270+00:00,0,2026-04-28T00:11:56.627246+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-78,-97,309.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,6,2,7 %,null,data/wifi_raw/bd411ce968ea.json
bd411ce968ea,6,2026-04-28T00:11:56.519270+00:00,1,2026-04-28T00:11:57.842047+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-78,-97,309.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,6,2,7 %,null,data/wifi_raw/bd411ce968ea.json
bd411ce968ea,6,2026-04-28T00:11:56.519270+00:00,2,2026-04-28T00:11:59.046573+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-79,-97,309.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,6,2,5 %,null,data/wifi_raw/bd411ce968ea.json
3c39b5eec639,7,2026-04-28T00:12:01.524360+00:00,0,2026-04-28T00:12:01.609415+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-77,-90,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,6,2,6 %,null,data/wifi_raw/3c39b5eec639.json
3c39b5eec639,7,2026-04-28T00:12:01.524360+00:00,1,2026-04-28T00:12:02.921622+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-78,-90,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,6 %,null,data/wifi_raw/3c39b5eec639.json
3c39b5eec639,7,2026-04-28T00:12:01.524360+00:00,2,2026-04-28T00:12:04.122426+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-79,-90,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,6 %,null,data/wifi_raw/3c39b5eec639.json
9e5597c40dbf,8,2026-04-28T00:12:06.529465+00:00,0,2026-04-28T00:12:06.615769+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-79,-92,97.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,0 %,null,data/wifi_raw/9e5597c40dbf.json
9e5597c40dbf,8,2026-04-28T00:12:06.529465+00:00,1,2026-04-28T00:12:07.832379+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-73,-92,97.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,0 %,null,data/wifi_raw/9e5597c40dbf.json
9e5597c40dbf,8,2026-04-28T00:12:06.529465+00:00,2,2026-04-28T00:12:09.018230+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-78,-92,97.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,0 %,null,data/wifi_raw/9e5597c40dbf.json
aeac070f34a6,9,2026-04-28T00:12:11.534696+00:00,0,2026-04-28T00:12:11.610540+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-85,-94,48.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,0 %,null,data/wifi_raw/aeac070f34a6.json
aeac070f34a6,9,2026-04-28T00:12:11.534696+00:00,1,2026-04-28T00:12:12.825625+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-79,0,0.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,6,2,0 %,null,data/wifi_raw/aeac070f34a6.json
aeac070f34a6,9,2026-04-28T00:12:11.534696+00:00,2,2026-04-28T00:12:14.181596+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:a9:22,en0,<redacted>,<redacted>,-82,0,0.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,2,0 %,null,data/wifi_raw/aeac070f34a6.json
f1a5f2f2c8a9,10,2026-04-28T00:12:16.539205+00:00,0,2026-04-28T00:12:16.608213+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-81,0,0.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,2,2,0 %,null,data/wifi_raw/f1a5f2f2c8a9.json
f1a5f2f2c8a9,10,2026-04-28T00:12:16.539205+00:00,1,2026-04-28T00:12:17.804088+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-81,-93,51.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,3,2,11 %,null,data/wifi_raw/f1a5f2f2c8a9.json
