ls_xy,ls_z,os_xyz,ls_t,os_t,mse
0.3,0.05,60.0,0.5,15.0,87.85079956054688
0.025,0.25,20.0,0.05,30.0,61.041969299316406
0.15,0.05,60.0,0.25,30.0,80.99301147460938
0.15,0.5,20.0,0.1,30.0,78.44842529296875
0.3,0.05,100.0,0.1,30.0,79.11137390136719
0.15,0.5,100.0,0.5,15.0,83.02186584472656
0.075,0.05,20.0,0.1,15.0,72.92715454101562
0.075,0.25,60.0,0.05,30.0,68.82864379882812
0.3,0.25,20.0,0.5,30.0,87.80374145507812
0.075,0.25,20.0,0.05,5.0,71.42400360107422
0.3,0.05,20.0,0.1,15.0,79.94416809082031
0.15,0.5,20.0,0.05,30.0,75.05078125
0.025,0.05,100.0,0.25,30.0,62.29844665527344
0.075,0.25,20.0,0.1,30.0,72.15882110595703
0.025,0.25,20.0,0.25,15.0,64.4572982788086
0.3,0.25,20.0,0.25,15.0,85.54009246826172
0.075,0.05,20.0,0.25,5.0,75.9356689453125
0.15,0.05,20.0,0.1,15.0,79.03071594238281
0.075,0.5,100.0,0.25,5.0,75.1540298461914
0.3,0.5,60.0,0.5,15.0,88.12223052978516
0.025,0.5,100.0,0.25,30.0,62.56907653808594
0.3,0.25,100.0,0.25,15.0,85.42865753173828
0.3,0.05,20.0,0.5,15.0,88.33451843261719
0.3,0.25,100.0,0.05,5.0,77.76216888427734
0.025,0.25,100.0,0.25,5.0,62.80489730834961
0.15,0.25,60.0,0.5,5.0,83.91709899902344
0.025,0.25,100.0,0.05,30.0,60.52749252319336
0.075,0.05,60.0,0.1,5.0,73.07601928710938
0.075,0.5,60.0,0.5,5.0,76.07362365722656
0.025,0.25,60.0,0.1,15.0,62.14290237426758
0.075,0.5,60.0,0.5,15.0,75.6815185546875
0.3,0.5,100.0,0.1,5.0,82.2559585571289
0.15,0.05,20.0,0.05,30.0,74.60626220703125
0.075,0.5,100.0,0.05,5.0,70.64881896972656
0.3,0.5,60.0,0.5,30.0,87.658935546875
0.025,0.25,60.0,0.25,15.0,62.8294677734375
0.3,0.25,100.0,0.5,5.0,88.21421813964844
0.15,0.5,100.0,0.5,30.0,82.54684448242188
0.075,0.25,60.0,0.05,15.0,69.24288177490234
0.025,0.5,20.0,0.25,15.0,64.98079681396484
0.075,0.5,60.0,0.1,15.0,72.452392578125
0.075,0.25,100.0,0.1,5.0,72.72406768798828
0.15,0.05,20.0,0.5,15.0,84.11019134521484
0.075,0.25,20.0,0.1,15.0,72.96240234375
0.075,0.05,20.0,0.5,5.0,76.54678344726562
0.025,0.5,100.0,0.1,30.0,61.98835754394531
0.3,0.05,60.0,0.1,5.0,81.91166687011719
0.025,0.05,60.0,0.1,15.0,62.129539489746094
0.025,0.05,20.0,0.5,15.0,65.09152221679688
0.3,0.5,60.0,0.05,5.0,77.8355484008789
0.3,0.25,60.0,0.25,15.0,85.40837860107422
0.3,0.05,60.0,0.05,15.0,75.63004302978516
0.075,0.5,100.0,0.5,30.0,74.96246337890625
0.025,0.5,60.0,0.25,15.0,63.15990447998047
0.3,0.25,20.0,0.5,15.0,88.35629272460938
0.025,0.05,60.0,0.05,5.0,61.49135208129883
0.15,0.25,100.0,0.5,5.0,83.44198608398438
0.3,0.05,20.0,0.05,15.0,75.75574493408203
0.15,0.05,60.0,0.05,15.0,75.09109497070312
0.15,0.05,100.0,0.25,15.0,81.26167297363281
0.075,0.05,20.0,0.05,15.0,70.08937072753906
0.3,0.05,20.0,0.25,15.0,85.5246810913086
0.3,0.25,20.0,0.25,30.0,84.51448059082031
0.15,0.25,20.0,0.05,15.0,75.297119140625
0.15,0.05,20.0,0.25,30.0,81.59003448486328
0.15,0.25,100.0,0.25,15.0,81.26655578613281
0.15,0.25,20.0,0.1,15.0,79.04185485839844
0.15,0.5,60.0,0.5,15.0,83.508056640625
0.3,0.5,100.0,0.1,30.0,79.21772003173828
0.025,0.25,20.0,0.1,5.0,64.13728332519531
0.3,0.25,60.0,0.5,15.0,87.86198425292969
0.3,0.25,100.0,0.1,5.0,82.07257080078125
0.3,0.5,100.0,0.1,15.0,80.21117401123047
0.075,0.05,60.0,0.25,30.0,73.86579895019531
0.075,0.25,20.0,0.05,15.0,70.12256622314453
0.15,0.5,60.0,0.25,5.0,82.86698150634766
0.025,0.05,60.0,0.05,30.0,60.40106201171875
0.3,0.25,60.0,0.5,30.0,87.41142272949219
0.15,0.5,20.0,0.25,5.0,83.5165023803711
0.3,0.25,60.0,0.1,5.0,81.92310333251953
0.025,0.25,100.0,0.05,15.0,60.76726531982422
0.075,0.05,20.0,0.05,5.0,71.39043426513672
0.15,0.5,100.0,0.25,5.0,82.41401672363281
0.3,0.5,20.0,0.25,15.0,85.89098358154297
0.3,0.25,20.0,0.05,5.0,77.55195617675781
0.075,0.25,100.0,0.5,5.0,74.93621063232422
0.3,0.05,20.0,0.05,30.0,75.08969116210938
0.025,0.5,100.0,0.5,30.0,62.9332275390625
0.3,0.5,100.0,0.5,5.0,88.36900329589844
0.15,0.25,20.0,0.1,30.0,78.19778442382812
0.025,0.5,60.0,0.25,30.0,62.88053894042969
0.075,0.05,20.0,0.25,15.0,75.24121856689453
0.15,0.25,100.0,0.1,15.0,78.29203033447266
0.025,0.05,100.0,0.25,5.0,62.78886795043945
0.075,0.25,100.0,0.1,15.0,71.35918426513672
0.075,0.25,20.0,0.25,30.0,74.83358001708984
0.075,0.25,20.0,0.5,5.0,76.58486938476562
0.075,0.05,100.0,0.05,30.0,68.46601867675781
0.15,0.05,60.0,0.1,5.0,80.2066650390625
0.15,0.5,60.0,0.05,30.0,74.91863250732422
