ls_xy,ls_z,os_xyz,ls_t,os_t,mse
0.075,0.05,100.0,0.25,5.0,74.4737548828125
0.025,0.05,100.0,0.05,5.0,61.41745376586914
0.15,0.5,60.0,0.1,15.0,78.9053955078125
0.025,0.25,60.0,0.1,5.0,62.668548583984375
0.075,0.5,60.0,0.5,30.0,75.39834594726562
0.075,0.5,60.0,0.25,5.0,75.58509063720703
0.025,0.25,20.0,0.1,30.0,62.903656005859375
0.15,0.25,100.0,0.1,30.0,77.4852523803711
0.15,0.05,100.0,0.5,5.0,83.43681335449219
0.025,0.25,20.0,0.25,5.0,64.98468780517578
0.3,0.05,20.0,0.5,30.0,87.78040313720703
0.15,0.25,60.0,0.5,15.0,83.3226547241211
0.075,0.25,60.0,0.25,5.0,74.87458038330078
0.15,0.05,20.0,0.25,5.0,83.36968231201172
0.075,0.05,100.0,0.25,15.0,73.91429901123047
0.025,0.25,60.0,0.5,5.0,63.342899322509766
0.3,0.25,60.0,0.05,5.0,77.6256103515625
0.15,0.5,60.0,0.25,15.0,81.86681365966797
0.15,0.25,100.0,0.25,30.0,80.61829376220703
0.075,0.5,100.0,0.05,15.0,69.4066390991211
0.025,0.25,20.0,0.05,15.0,61.469276428222656
0.3,0.05,100.0,0.05,15.0,75.6792221069336
0.15,0.5,60.0,0.05,5.0,77.20072174072266
0.3,0.25,60.0,0.05,30.0,74.91324615478516
0.075,0.05,100.0,0.05,15.0,68.86724090576172
0.3,0.05,20.0,0.25,30.0,84.5021743774414
0.075,0.5,60.0,0.1,30.0,71.59039306640625
0.075,0.05,20.0,0.1,5.0,74.24040222167969
0.025,0.5,100.0,0.1,5.0,62.70188903808594
0.075,0.5,20.0,0.1,5.0,75.07343292236328
0.15,0.5,20.0,0.5,30.0,83.78959655761719
0.15,0.05,100.0,0.05,5.0,76.58444213867188
0.025,0.05,60.0,0.25,15.0,62.81684494018555
0.15,0.25,60.0,0.1,30.0,77.81698608398438
0.075,0.25,100.0,0.1,30.0,70.49869537353516
0.025,0.5,60.0,0.5,30.0,63.374568939208984
0.025,0.5,100.0,0.5,15.0,63.056209564208984
0.15,0.25,60.0,0.1,15.0,78.63412475585938
0.025,0.25,100.0,0.5,30.0,62.64962387084961
0.3,0.5,20.0,0.1,30.0,79.15935516357422
0.025,0.25,60.0,0.1,30.0,61.82455825805664
0.15,0.5,100.0,0.1,15.0,78.5156478881836
0.025,0.05,20.0,0.5,5.0,65.34097290039062
0.3,0.5,100.0,0.25,30.0,84.68165588378906
0.025,0.05,20.0,0.25,15.0,64.43350219726562
0.075,0.5,20.0,0.1,15.0,73.71670532226562
0.15,0.25,100.0,0.25,5.0,82.25324249267578
0.025,0.5,60.0,0.1,15.0,62.43046951293945
0.025,0.05,100.0,0.05,30.0,60.51313400268555
0.15,0.25,60.0,0.05,15.0,75.11454772949219
0.025,0.05,100.0,0.1,30.0,61.72084045410156
0.3,0.05,60.0,0.1,15.0,79.94152069091797
0.3,0.05,20.0,0.1,30.0,79.10070037841797
0.075,0.05,100.0,0.5,15.0,74.55873107910156
0.3,0.25,20.0,0.1,15.0,79.9487533569336
0.075,0.05,60.0,0.05,15.0,69.21412658691406
0.15,0.25,60.0,0.5,30.0,82.84901428222656
0.075,0.5,20.0,0.5,30.0,76.71226501464844
0.15,0.5,100.0,0.1,30.0,77.74068450927734
0.3,0.25,60.0,0.25,30.0,84.4954833984375
0.3,0.5,20.0,0.5,15.0,88.89913940429688
0.025,0.05,20.0,0.05,15.0,61.44699478149414
0.075,0.25,100.0,0.05,30.0,68.48780059814453
0.3,0.05,100.0,0.25,15.0,85.42322540283203
0.3,0.25,20.0,0.25,5.0,86.98265075683594
0.075,0.5,100.0,0.5,15.0,75.21233367919922
0.025,0.05,100.0,0.5,5.0,62.896827697753906
0.3,0.05,100.0,0.1,5.0,82.06417083740234
0.15,0.5,20.0,0.05,5.0,77.48171997070312
0.15,0.5,100.0,0.05,5.0,76.87458038330078
0.025,0.25,20.0,0.5,30.0,64.90185546875
0.025,0.5,20.0,0.1,5.0,64.62644958496094
0.3,0.5,20.0,0.05,15.0,75.91851806640625
0.15,0.05,100.0,0.25,30.0,80.61493682861328
0.15,0.05,20.0,0.25,15.0,82.32534790039062
0.15,0.5,60.0,0.05,15.0,75.51976776123047
0.3,0.25,20.0,0.05,30.0,75.09381103515625
0.025,0.05,100.0,0.05,15.0,60.75202178955078
0.025,0.25,100.0,0.5,5.0,62.911720275878906
0.15,0.05,100.0,0.5,30.0,82.36969757080078
0.075,0.05,100.0,0.5,30.0,74.316162109375
0.075,0.5,20.0,0.5,5.0,77.5157699584961
0.3,0.05,60.0,0.05,30.0,74.90534210205078
0.3,0.25,100.0,0.25,30.0,84.56267547607422
0.15,0.25,20.0,0.5,5.0,84.69710540771484
0.15,0.25,60.0,0.25,15.0,81.67805480957031
0.15,0.5,60.0,0.1,30.0,78.10901641845703
0.025,0.05,60.0,0.5,5.0,63.32810974121094
0.025,0.5,20.0,0.25,30.0,64.57029724121094
0.15,0.25,60.0,0.1,5.0,80.20887756347656
0.3,0.05,60.0,0.05,5.0,77.61201477050781
0.075,0.25,60.0,0.5,5.0,75.34862518310547
0.075,0.5,100.0,0.25,15.0,74.55709075927734
0.3,0.25,20.0,0.1,5.0,81.85636138916016
0.075,0.25,100.0,0.05,15.0,68.89612579345703
0.15,0.5,60.0,0.1,5.0,80.44056701660156
0.15,0.05,60.0,0.25,5.0,82.67940521240234
0.025,0.05,100.0,0.1,15.0,61.984500885009766
0.075,0.5,60.0,0.25,15.0,74.94001770019531
0.3,0.05,100.0,0.05,5.0,77.74766540527344
0.075,0.05,100.0,0.1,5.0,72.69158172607422
0.15,0.05,100.0,0.25,5.0,82.2485580444336
0.025,0.05,60.0,0.5,15.0,63.15167236328125
0.025,0.25,20.0,0.5,15.0,65.11189270019531
0.15,0.25,20.0,0.1,5.0,80.67790985107422
0.075,0.25,60.0,0.1,5.0,73.11279296875
0.025,0.5,60.0,0.05,30.0,60.71965789794922
0.025,0.25,100.0,0.5,15.0,62.759212493896484
0.15,0.25,60.0,0.05,5.0,76.88500213623047
0.025,0.25,60.0,0.05,30.0,60.41431427001953
0.15,0.05,60.0,0.25,15.0,81.66796875
0.025,0.5,60.0,0.05,5.0,61.86669921875
0.025,0.25,60.0,0.05,15.0,60.71411895751953
0.15,0.25,20.0,0.25,30.0,81.593994140625
0.075,0.25,100.0,0.25,30.0,73.57725524902344
0.075,0.05,60.0,0.1,15.0,71.75032806396484
0.15,0.5,20.0,0.5,15.0,84.26940155029297
0.3,0.25,60.0,0.1,30.0,79.01695251464844
0.15,0.05,100.0,0.05,15.0,74.8741226196289
0.075,0.5,20.0,0.05,15.0,70.84273529052734
0.075,0.25,100.0,0.25,5.0,74.50778198242188
0.15,0.25,60.0,0.25,5.0,82.68720245361328
0.075,0.5,20.0,0.5,15.0,77.05220794677734
0.15,0.5,100.0,0.5,5.0,83.62026977539062
0.075,0.5,60.0,0.05,30.0,69.35557556152344
0.3,0.5,20.0,0.1,5.0,82.13230895996094
0.3,0.5,20.0,0.05,30.0,75.2452163696289
0.15,0.25,20.0,0.25,15.0,82.33090209960938
0.15,0.25,20.0,0.05,30.0,74.6279525756836
0.075,0.25,100.0,0.5,15.0,74.58811950683594
0.075,0.5,100.0,0.1,15.0,72.00518798828125
0.075,0.5,20.0,0.25,30.0,75.60992431640625
0.075,0.05,60.0,0.5,30.0,74.68621826171875
0.15,0.25,60.0,0.25,30.0,81.00310516357422
0.3,0.05,100.0,0.5,5.0,88.2087631225586
0.3,0.5,100.0,0.5,30.0,87.46259307861328
0.15,0.25,20.0,0.5,30.0,83.64110565185547
0.15,0.5,100.0,0.1,5.0,80.03472137451172
0.025,0.05,60.0,0.25,5.0,63.15814208984375
0.3,0.5,60.0,0.25,30.0,84.65309143066406
0.025,0.25,60.0,0.05,5.0,61.50562286376953
0.075,0.5,20.0,0.1,30.0,72.88963317871094
0.3,0.25,100.0,0.05,30.0,74.92353057861328
0.025,0.5,20.0,0.05,30.0,61.45635986328125
0.025,0.25,60.0,0.25,30.0,62.579219818115234
0.3,0.05,100.0,0.05,30.0,74.91516876220703
0.15,0.05,20.0,0.5,30.0,83.6375961303711
0.15,0.5,60.0,0.25,30.0,81.2011489868164
0.075,0.25,20.0,0.5,30.0,75.83431243896484
0.3,0.05,20.0,0.25,5.0,86.96263122558594
0.075,0.25,20.0,0.25,15.0,75.27975463867188
0.075,0.25,20.0,0.25,5.0,75.97562408447266
0.15,0.5,20.0,0.1,5.0,80.9080810546875
0.15,0.05,100.0,0.1,30.0,77.47394561767578
0.15,0.05,60.0,0.5,5.0,83.90868377685547
0.3,0.5,100.0,0.25,15.0,85.55595397949219
0.025,0.05,20.0,0.1,5.0,64.12519073486328
0.15,0.5,20.0,0.1,15.0,79.2840347290039
0.075,0.5,20.0,0.05,5.0,72.2037353515625
0.15,0.5,100.0,0.05,30.0,74.67845153808594
0.15,0.05,100.0,0.5,15.0,82.84445190429688
0.15,0.05,60.0,0.05,5.0,76.87045288085938
0.025,0.05,20.0,0.1,15.0,63.36380386352539
0.3,0.25,60.0,0.25,5.0,86.62106323242188
0.3,0.05,20.0,0.1,5.0,81.8426284790039
0.3,0.5,60.0,0.25,5.0,86.8449478149414
0.025,0.05,60.0,0.05,15.0,60.69779586791992
0.025,0.25,100.0,0.1,5.0,62.43317794799805
0.025,0.5,100.0,0.5,5.0,63.231048583984375
0.075,0.05,100.0,0.1,15.0,71.32817077636719
0.3,0.25,100.0,0.05,15.0,75.68896484375
0.075,0.25,60.0,0.5,30.0,74.7205810546875
0.025,0.5,20.0,0.1,30.0,63.279640197753906
0.075,0.25,20.0,0.05,30.0,69.62162017822266
0.3,0.05,100.0,0.5,30.0,87.30072021484375
0.075,0.25,20.0,0.5,15.0,76.15325164794922
0.075,0.25,60.0,0.05,5.0,70.42184448242188
0.3,0.5,60.0,0.1,5.0,82.14256286621094
0.075,0.5,60.0,0.1,5.0,73.81421661376953
0.075,0.05,60.0,0.5,5.0,75.31376647949219
0.025,0.5,20.0,0.5,15.0,65.69073486328125
0.15,0.05,60.0,0.05,30.0,74.44918823242188
0.025,0.25,60.0,0.5,30.0,63.027923583984375
0.3,0.5,20.0,0.5,5.0,89.62975311279297
0.3,0.5,60.0,0.05,30.0,75.06598663330078
0.025,0.25,20.0,0.05,5.0,62.57992172241211
0.025,0.5,20.0,0.5,5.0,65.99126434326172
0.075,0.5,60.0,0.05,5.0,71.06011199951172
0.025,0.05,100.0,0.5,30.0,62.6368293762207
0.075,0.25,60.0,0.1,15.0,71.77942657470703
0.075,0.25,60.0,0.25,15.0,74.28020477294922
0.075,0.5,20.0,0.25,5.0,76.85951232910156
0.15,0.05,20.0,0.1,5.0,80.66715240478516
0.075,0.5,20.0,0.05,30.0,70.31128692626953
0.025,0.05,60.0,0.5,30.0,63.018531799316406
0.075,0.05,60.0,0.05,5.0,70.38268280029297
0.3,0.25,60.0,0.5,5.0,88.41887664794922
0.3,0.25,100.0,0.1,30.0,79.11885833740234
0.075,0.05,60.0,0.25,15.0,74.24713897705078
0.3,0.05,60.0,0.5,5.0,88.40868377685547
0.075,0.05,100.0,0.25,30.0,73.54386138916016
0.15,0.05,100.0,0.1,15.0,78.28595733642578
0.075,0.05,20.0,0.25,30.0,74.79377746582031
0.025,0.5,20.0,0.05,15.0,61.921382904052734
0.3,0.25,20.0,0.1,30.0,79.1015625
0.025,0.25,60.0,0.25,5.0,63.17363357543945
0.3,0.5,20.0,0.1,15.0,80.0644760131836
0.15,0.25,20.0,0.05,5.0,77.12804412841797
0.025,0.5,60.0,0.5,5.0,63.73146057128906
0.025,0.05,100.0,0.1,5.0,62.418094635009766
0.025,0.25,100.0,0.05,5.0,61.436126708984375
0.075,0.05,60.0,0.05,30.0,68.80561065673828
0.025,0.5,100.0,0.25,5.0,63.10569381713867
0.15,0.25,100.0,0.1,5.0,79.83959197998047
0.3,0.5,60.0,0.5,5.0,88.67953491210938
0.075,0.05,60.0,0.1,30.0,70.90711212158203
0.075,0.5,20.0,0.25,15.0,76.08775329589844
0.3,0.5,100.0,0.05,5.0,77.97000885009766
0.075,0.5,100.0,0.5,5.0,75.57775115966797
0.15,0.05,20.0,0.1,30.0,78.1859359741211
0.025,0.05,20.0,0.5,30.0,64.87720489501953
0.15,0.25,20.0,0.25,5.0,83.37496948242188
0.3,0.05,100.0,0.25,30.0,84.55728149414062
0.3,0.05,60.0,0.5,30.0,87.39985656738281
0.3,0.5,20.0,0.25,30.0,84.79777526855469
0.3,0.5,20.0,0.5,30.0,88.30409240722656
0.025,0.05,60.0,0.25,30.0,62.56132125854492
0.15,0.05,60.0,0.5,15.0,83.31758117675781
0.3,0.25,100.0,0.1,15.0,80.0804214477539
0.075,0.05,60.0,0.5,15.0,74.94651794433594
0.075,0.5,100.0,0.1,5.0,73.3828125
0.075,0.25,60.0,0.1,30.0,70.939697265625
0.025,0.5,60.0,0.1,5.0,62.983360290527344
0.025,0.5,100.0,0.05,15.0,61.0741081237793
0.15,0.5,20.0,0.25,15.0,82.46968841552734
0.15,0.5,20.0,0.05,15.0,75.69486999511719
0.3,0.05,60.0,0.25,5.0,86.60992431640625
0.025,0.25,100.0,0.1,15.0,61.99431610107422
0.075,0.5,100.0,0.05,30.0,68.96395111083984
0.3,0.05,60.0,0.25,15.0,85.39991760253906
0.025,0.5,20.0,0.25,5.0,65.58329772949219
0.075,0.25,100.0,0.05,5.0,70.05933380126953
0.3,0.5,100.0,0.25,5.0,86.69444274902344
0.15,0.5,60.0,0.5,30.0,83.03903198242188
0.025,0.05,20.0,0.1,30.0,62.888275146484375
0.15,0.05,20.0,0.05,5.0,77.10777282714844
0.15,0.5,100.0,0.25,30.0,80.79335021972656
0.3,0.5,100.0,0.5,15.0,87.8826675415039
0.3,0.05,100.0,0.1,15.0,80.07330322265625
0.3,0.5,100.0,0.05,15.0,75.8698501586914
0.3,0.5,60.0,0.25,15.0,85.59378051757812
0.025,0.5,100.0,0.1,15.0,62.24818801879883
0.025,0.5,20.0,0.1,15.0,63.78515625
0.075,0.05,60.0,0.25,5.0,74.83858489990234
0.025,0.25,20.0,0.25,30.0,64.08495330810547
0.025,0.5,100.0,0.25,15.0,62.80085754394531
0.3,0.05,60.0,0.25,30.0,84.48546600341797
0.3,0.5,60.0,0.1,15.0,80.074951171875
0.3,0.25,100.0,0.25,5.0,86.55018615722656
0.025,0.25,60.0,0.5,15.0,63.16166305541992
0.15,0.5,100.0,0.25,15.0,81.42958068847656
0.15,0.05,20.0,0.5,5.0,84.69142150878906
0.3,0.25,100.0,0.5,15.0,87.71810150146484
0.3,0.25,20.0,0.5,5.0,89.04198455810547
0.3,0.25,20.0,0.05,15.0,75.76298522949219
0.15,0.25,60.0,0.05,30.0,74.47345733642578
0.025,0.05,20.0,0.25,30.0,64.05231475830078
0.075,0.05,20.0,0.5,30.0,75.79481506347656
0.3,0.05,20.0,0.5,5.0,89.01708221435547
0.3,0.5,20.0,0.25,5.0,87.4201431274414
0.025,0.05,20.0,0.05,30.0,61.01837921142578
0.025,0.05,100.0,0.5,15.0,62.74436569213867
0.025,0.5,60.0,0.1,30.0,62.100982666015625
0.3,0.5,20.0,0.05,5.0,77.76850128173828
0.15,0.05,60.0,0.1,30.0,77.80167388916016
0.15,0.25,100.0,0.05,5.0,76.5920181274414
0.15,0.25,20.0,0.5,15.0,84.11510467529297
0.3,0.05,20.0,0.05,5.0,77.54190826416016
0.075,0.25,100.0,0.5,30.0,74.34813690185547
0.025,0.05,60.0,0.1,30.0,61.810333251953125
0.025,0.5,20.0,0.05,5.0,63.08574295043945
0.025,0.05,60.0,0.1,5.0,62.653438568115234
0.025,0.25,100.0,0.25,15.0,62.52635192871094
0.3,0.05,100.0,0.5,15.0,87.7118148803711
0.075,0.5,100.0,0.25,30.0,74.18177795410156
0.025,0.25,20.0,0.5,5.0,65.358154296875
0.075,0.05,20.0,0.1,30.0,72.12345886230469
0.15,0.5,20.0,0.25,30.0,81.73834991455078
0.075,0.5,100.0,0.1,30.0,71.12615966796875
0.3,0.25,60.0,0.1,15.0,79.94898223876953
0.15,0.25,100.0,0.05,30.0,74.26041412353516
0.025,0.5,60.0,0.05,15.0,61.03884506225586
0.075,0.05,20.0,0.5,15.0,76.11338806152344
0.075,0.05,100.0,0.5,5.0,74.90390014648438
0.3,0.05,100.0,0.25,5.0,86.54444885253906
0.15,0.25,100.0,0.5,15.0,82.84998321533203
0.15,0.05,60.0,0.1,15.0,78.62051391601562
0.025,0.25,20.0,0.1,15.0,63.38400650024414
0.075,0.25,100.0,0.25,15.0,73.94512176513672
0.15,0.05,20.0,0.05,15.0,75.27642059326172
0.3,0.05,60.0,0.1,30.0,79.01506042480469
0.15,0.05,100.0,0.1,5.0,79.83123779296875
0.075,0.05,20.0,0.05,30.0,69.59225463867188
0.075,0.5,60.0,0.25,30.0,74.5370101928711
0.15,0.25,100.0,0.5,30.0,82.37252044677734
0.025,0.5,100.0,0.05,30.0,60.821754455566406
0.3,0.25,60.0,0.05,15.0,75.63826751708984
0.025,0.05,20.0,0.25,5.0,64.97013092041016
0.075,0.05,100.0,0.1,30.0,70.4672622680664
0.075,0.25,20.0,0.1,5.0,74.27703094482422
0.025,0.05,20.0,0.05,5.0,62.558773040771484
0.3,0.25,100.0,0.5,30.0,87.3079833984375
0.15,0.05,100.0,0.05,30.0,74.24147033691406
0.025,0.5,20.0,0.5,30.0,65.4443359375
0.075,0.25,60.0,0.5,15.0,74.97985076904297
0.3,0.5,60.0,0.05,15.0,75.81412506103516
0.025,0.05,100.0,0.25,15.0,62.51222229003906
0.025,0.25,100.0,0.25,30.0,62.3106575012207
0.075,0.5,60.0,0.05,15.0,69.80489349365234
0.025,0.5,60.0,0.25,5.0,63.54368591308594
0.025,0.5,60.0,0.5,15.0,63.530086517333984
0.025,0.25,100.0,0.1,30.0,61.734188079833984
0.15,0.05,60.0,0.5,30.0,82.84378051757812
0.15,0.5,100.0,0.05,15.0,75.2555160522461
0.3,0.5,100.0,0.05,30.0,75.08526611328125
0.15,0.5,20.0,0.5,5.0,84.85089111328125
0.3,0.5,60.0,0.1,30.0,79.10427856445312
0.075,0.25,60.0,0.25,30.0,73.89988708496094
0.025,0.5,100.0,0.05,5.0,61.74916076660156
0.075,0.05,100.0,0.05,5.0,70.0296630859375
0.15,0.25,100.0,0.05,15.0,74.89130401611328
0.15,0.5,60.0,0.5,5.0,84.11061096191406
